W4m0m0_13735	1905	5253	10147	16486	23944	3.0711356213E+03	7.1137294766E+03	1.3108205511E+04	2.0661042432E+04	3.0613417356E+04	34855714	115266057	236826369	403533178	590884925	56192454	156095859	305939560	505727048	755471384	6.2029170E-01	7.3843120E-01	7.7409530E-01	7.9792680E-01	7.8214070E-01	
W4m0m0_14688	1072	2980	5963	10309	15200	1.3234009796E+03	3.7218126970E+03	7.4762426527E+03	1.2507373956E+04	1.8957973339E+04	27765050	76232177	148843476	254261550	369468103	34276394	95208686	186615788	308482325	460813582	8.1003420E-01	8.0068510E-01	7.9759320E-01	8.2423380E-01	8.0177350E-01	
W4m0m0_14824	2365	6455	12299	19907	28931	3.6779025175E+03	8.4684003745E+03	1.5708543901E+04	2.5213277457E+04	3.7004415642E+04	44322391	145948879	293821354	489793229	724507989	68927456	191472276	375274871	620349253	926687455	6.4302950E-01	7.6224550E-01	7.8294970E-01	7.8954430E-01	7.8182560E-01	
W4m0m0_14851	928	2582	5123	8793	13238	1.1563832307E+03	3.1938504070E+03	6.4099954156E+03	1.0729592929E+04	1.6286258215E+04	23809901	66624616	129101672	218827408	324222750	29669580	82412493	161534477	267022519	398880150	8.0250210E-01	8.0842860E-01	7.9922050E-01	8.1950920E-01	8.1283250E-01	
W4m0m0_14911	1174	3384	6408	10906	16191	1.4570621364E+03	3.9719072315E+03	7.6811331580E+03	1.3229760868E+04	2.0257948609E+04	29965960	88021696	168925963	275925292	399621562	37191027	103313833	202487955	334717186	500000807	8.0573090E-01	8.5198360E-01	8.3425190E-01	8.2435350E-01	7.9924180E-01	
W4m0m0_15086	2560	6316	12165	19743	28525	3.4807665119E+03	8.3709285712E+03	1.5593975156E+04	2.5484180275E+04	3.7004099998E+04	50700948	144471366	292757192	480589284	714334713	68936782	191475536	375277302	620342600	926671802	7.3547020E-01	7.5451610E-01	7.8010900E-01	7.7471590E-01	7.7086050E-01	
W4m0m0_15163	1311	4004	8164	13480	19580	1.7534212213E+03	5.2867660269E+03	1.0425839716E+04	1.6821746324E+04	2.4540375482E+04	33510913	94288023	191072596	323245552	480776053	44819791	124495184	244009341	403379427	602575325	7.4768120E-01	7.5736280E-01	7.8305440E-01	8.0134370E-01	7.9786880E-01	
W4m0m0_15283	1540	3564	6652	10878	16240	2.1256874116E+03	4.9617674235E+03	8.7997484248E+03	1.3823042291E+04	2.0810755455E+04	26947587	74210849	153068057	263405148	390184249	37196199	103315649	202489536	334717825	500001785	7.2447150E-01	7.1829240E-01	7.5593070E-01	7.8694690E-01	7.8036570E-01	
W4m0m0_15420	1078	2982	5836	9578	14016	1.5625581278E+03	4.3135049585E+03	7.7592053384E+03	1.2305939728E+04	1.7782394438E+04	21936902	61059283	130209362	222735532	336943303	31797481	88323112	173118776	286173526	427487066	6.8989430E-01	6.9131720E-01	7.5213890E-01	7.7832330E-01	7.8819530E-01	
W4m0m0_15498	1652	4031	7547	12444	18484	2.3295998361E+03	5.5172634493E+03	9.8422145388E+03	1.5938156074E+04	2.3792916195E+04	30240450	86538816	178007905	299610460	445323683	42644157	118446402	232144162	383738209	573228147	7.0913470E-01	7.3061580E-01	7.6679900E-01	7.8076790E-01	7.7686990E-01	
W4m0m0_15703	982	3025	6178	10420	15283	1.3358575093E+03	4.0077324829E+03	8.1052650432E+03	1.3080451531E+04	1.9070447512E+04	25196811	71862593	142234648	245739002	369302396	34276323	95208611	186605620	308481488	460823265	7.3510830E-01	7.5479090E-01	7.6222060E-01	7.9660860E-01	8.0139700E-01	
W4m0m0_15771	1145	3106	6235	10684	15757	1.4197230063E+03	3.7812870800E+03	7.6327982384E+03	1.2894964408E+04	1.9690716912E+04	28770115	81395812	158653107	266005043	383779951	35673008	99092380	194220875	321052561	479590174	8.0649530E-01	8.2141340E-01	8.1686950E-01	8.2854050E-01	8.0022480E-01	
W4m0m0_16153	1602	4477	8691	14530	20799	1.8900969245E+03	5.2166335824E+03	1.0297588737E+04	1.8012919332E+04	2.6707240027E+04	42298206	118962308	229290008	362252783	522439498	49904937	138615763	271675780	449086728	670845573	8.4757560E-01	8.5821630E-01	8.4398400E-01	8.0664330E-01	7.7877760E-01	
W4m0m0_16387	1206	3313	6561	10390	15499	1.3480327756E+03	3.7978739592E+03	7.5795071746E+03	1.2693114265E+04	1.9574981660E+04	33278369	90125737	175279317	273985179	395889472	37197622	103316085	202489078	334718497	500001881	8.9463700E-01	8.7233020E-01	8.6562360E-01	8.1855400E-01	7.9177600E-01	
W4m0m0_16644	950	2626	5261	8405	12467	1.0729448636E+03	2.9642452023E+03	6.0490499994E+03	1.0089698534E+04	1.5410329719E+04	26274837	73017546	140494683	222440392	322697766	29675212	82422662	161539510	267026353	398883370	8.8541360E-01	8.8589160E-01	8.6972330E-01	8.3302790E-01	8.0900280E-01	
W4m0m0_17944	1541	3309	6449	10556	15531	2.0817631019E+03	4.8092595827E+03	8.5168034855E+03	1.3533574955E+04	1.9664214571E+04	26406452	68183022	147067619	250417777	378786122	35672925	99096359	194223292	321054164	479591242	7.4023790E-01	6.8804770E-01	7.5720900E-01	7.7998610E-01	7.8981030E-01	
W4m0m0_18869	1025	2920	5655	9631	14612	1.2845456267E+03	3.4833147555E+03	6.8350152532E+03	1.1633936839E+04	1.8021093711E+04	26323028	76817636	148598003	245778032	359600749	32988420	91636988	179605591	296891922	443498412	7.9794750E-01	8.3828200E-01	8.2735730E-01	8.2783670E-01	8.1082760E-01	
W4m0m0_19748	981	2731	5396	8699	13002	1.1139069376E+03	3.1571195398E+03	6.2799165143E+03	1.0364105946E+04	1.6110779389E+04	27036329	73759415	143595066	231864787	333029630	30699240	85268140	167117314	276246835	412657045	8.8068400E-01	8.6502900E-01	8.5924710E-01	8.3933920E-01	8.0703730E-01	
W4m0m0_20299	2445	6355	12291	19753	28906	3.5139243722E+03	8.4492403305E+03	1.5565204751E+04	2.5313254655E+04	3.6923698022E+04	47964678	144015613	296335550	484078988	725460093	68934254	191474827	375276504	620341958	926681983	6.9580330E-01	7.5213860E-01	7.8964590E-01	7.8034220E-01	7.8285770E-01	
W4m0m0_20417	895	2563	4897	8319	12694	1.0939405112E+03	3.0343912140E+03	5.9298563382E+03	9.9543135560E+03	1.5518843463E+04	23494180	67378410	129115107	215987556	315792018	28716464	79770759	156347567	258445469	386066401	8.1814320E-01	8.4465050E-01	8.2582100E-01	8.3571810E-01	8.1797330E-01	
W4m0m0_21045	839	2573	5201	8930	13282	1.1415032619E+03	3.2921744376E+03	6.7629878682E+03	1.1248039179E+04	1.6554986819E+04	21807100	64409538	124219318	211988453	320024383	29669697	82412528	161525426	267016173	398885668	7.3499570E-01	7.8155030E-01	7.6903880E-01	7.9391620E-01	8.0229600E-01	
W4m0m0_21371	980	2796	5240	8860	13443	1.1645861961E+03	3.3151206424E+03	6.2658547612E+03	1.0532615451E+04	1.6592156435E+04	25829205	71914440	139755788	232376679	334334750	30694220	85266468	167116311	276245395	412655990	8.4150060E-01	8.4340820E-01	8.3627860E-01	8.4119660E-01	8.1020210E-01	
